Style No,Style Long Description,Back,Back,Back 2,Back 2,Back 2,Back 2,Edge,Edge,Edge,Edge,Edge 2,Edge 2,Edge 2,Edge 2,Front,Main,Main,Main,Main 2,Main 2,Main 2,Main 2,Model,Model,Model,Model,Model,Model,Model,Model 2,Profile,Profile,Top,Top,Assortment_Type,caratage_of_predom_mat_1,caratage_of_predom_mat_2,caratage_of_predom_mat_3,Closure Type,Commercial Reference,Country of Origin,Diamond Carat Weight,Fish_&_Wild,funct_hier_lvl4_item_shape,Gender,item_note,Launch Date - Wholesales (US),man_made_stones,measure_1,measure_3,measure_4,measure_5,merch_hier_lv2_sub_collection,merch_hier_lvl_collection,NFR Size Code,NRF_color_code,Predominant_Color_Descr,Primary Material,Product Description,Product Type,Retail Price,Retail Price - Dollar Sign,sales_life_cycle,season,Season Code,season_year,Size,stone_id_1,stone_id_2,stone_id_3,stone_id_4,supply_life_cycle,UPC Code,Variant No,Vendor Name,salsify:profile_asset_id
EB5904,WOMEN's Bamboo Silver French Wire Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--e_AAOrhn--/kc2xwfomlahnquxwwgy9.jpg,http://images.salsify.com/image/upload/s--oou7CsP3--/annw8wci5dcwlwtom4p4.jpg,,,,,,,,,,,,,,,,,,CORE,,,,French Wire,EB5904,ID,0,No,Drop,WOMEN,,2/15/2016,No,0,0,54.5,5,Bamboo,Bamboo,,,CORE,Silver,Bamboo Linear Drop Earring in Silver,Earrings,295,$,Active,SPRING,S16,2016,NO SIZE,,,,,Contributor,8.25429E+12,1_381_1565904,John Hardy,
EB5905,WOMEN's Bamboo Silver Small Hoop Earrings (Length 23.5mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--khFI568p--/fvbycve9hnjubu3zhnpf.jpg,http://images.salsify.com/image/upload/s--zu7PZi9d--/wzcterq3cxauxzz3a9x1.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Post Back,EB5905,ID,0,No,J Hoop,WOMEN,,2/15/2016,No,0,0,23.5,7,Bamboo,Bamboo,,,NON CORE,Silver,Bamboo Small Hoop Earring in Silver,Earrings,250,$,Active,SPRING,S16,2016,NO SIZE,,,,,Star,8.25429E+12,1_381_1565905,John Hardy,
EB5961,WOMEN's Bamboo Silver Large Hook Earrings (Length 40.5mm.),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--ULTg93GC--/wjdoerokkry4fxmardsy.jpg,http://images.salsify.com/image/upload/s--97upnSVz--/uqgxit6onjksg6twtphn.jpg,,,,,,http://images.salsify.com/image/upload/s---LV9Vj7F--/dzyhmwwir7qmcbrsbser.jpg,http://images.salsify.com/image/upload/s--GLx8t7JE--/n8nwd6qolove90obejcs.jpg,,,,,,,,,,,CORE,,,,Wire,EB5961,ID,0,No,Hoop,WOMEN,,1/25/2017,No,0,0,40.5,0,Bamboo,Bamboo,,,CORE,Silver,Bamboo Large Hoop Earring in Silver,Earrings,395,$,Active,SPRING,S17,2017,NO SIZE,,,,,Star,8.25429E+12,EB5961,John Hardy,
EB5962,WOMEN's Bamboo Silver Small Hook Earrings (Length 24.5mm.),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--cuGnEPF---/kqesqxpngusoxjpfzriz.jpg,http://images.salsify.com/image/upload/s--lL8bU8K3--/bsqityhgk1l8kmsfs9nh.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Wire,EB5962,ID,0,No,Hoop,WOMEN,,1/25/2017,No,0,0,24.5,0,Bamboo,Bamboo,,,CORE,Silver,Bamboo Small Hoop Earring in Silver,Earrings,295,$,Active,SPRING,S17,2017,NO SIZE,,,,,Star,8.25429E+12,EB5962,John Hardy,
EB5992,WOMEN's Bamboo Silver Drop White Rhodium Earrings on French Wire with 11mm White Fresh Water Pearl,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--fjrRAhb---/jgzkw26tzaccbtbwedif.jpg,http://images.salsify.com/image/upload/s--sDNyIMw---/hr4stijfyglqhcthx5pf.jpg,,,,,,http://images.salsify.com/image/upload/s--UpBnZ-wz--/bhikqbpgs1wa9kmxbi3l.jpg,http://images.salsify.com/image/upload/s--CrFgPnOE--/b2kyfe7vfbf0gcoboyyf.jpg,,,,,,,,,,,CORE,,,,French Wire,EB5992,TH,0,F&W,Drop,WOMEN,,7/25/2017,No,0,0,37.5,11,Bamboo,Bamboo,,100,CORE,Silver,Bamboo Drop Earring in Silver with 11MM Pearl,Earrings,495,$,Active,FALL,F17,2017,NO SIZE,White Fresh Water Pearl,,,,Star,8.25429E+12,EB5992,John Hardy,
EB650126,WOMEN's Legends Naga Silver Small Hoop Earrings (Dia 22mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--MaGPLoHi--/alnia59xrwofjwvy6nin.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Post Back,EB650126,ID,0,No,Hoop,WOMEN,,2/25/2018,No,0,0,22,0,Naga,Legends,,,NON CORE,Silver,Naga Small Hoop Earring in Silver,Earrings,REMOVE,$,Active,SPRING,S18,2018,NO SIZE,,,,,Star,,EB650126,John Hardy,
EB6645,WOMEN's Legends Naga Silver Buddha Belly Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--Ne1ALGIM--/ht4ht2c1pvxfi6rgjuaf.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Omega Back,EB6645,ID,0,No,Buddha Belly,WOMEN,,2/25/2018,No,0,0,18.5,10,Naga,Legends,,,CORE,Silver,Legends Naga Buddha Belly Earring in Silver,Earrings,395,$,Active,SPRING,S18,2018,NO SIZE,,,,,Star,8.25429E+12,EB6645,John Hardy,
EB6655,WOMEN's Legends Naga Silver Chandelier Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--63Y04SQC--/rfltcj1n8b2ebkdhyphh.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Post Back,EB6655,ID,0,No,Chandelier,WOMEN,,2/25/2018,No,0,0,68,20.5,Naga,Legends,,,NON CORE,Silver,Legends Naga Chandelier Earring in Silver,Earrings,595,$,Active,SPRING,S18,2018,NO SIZE,,,,,Star,8.25429E+12,EB6655,John Hardy,
EB7154,WOMEN's Dot Hammered Silver Round Drop Earrings on French wire (Dia 15.5mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s---pWWQdFA--/vgcykqw7caqi6xpffx2a.jpg,http://images.salsify.com/image/upload/s--sAENvsVm--/tgdclwzjsusb6euyelsv.jpg,,,,,,http://images.salsify.com/image/upload/s--NoxTWcv3--/aqlu2xrf6v99npjmbavq.jpg,http://images.salsify.com/image/upload/s--SZUngMUZ--/uknzwla1vop2m2ythmci.jpg,,,,,,,,,,,CORE,,,,French Wire,EB7154,ID,0,No,Drop,WOMEN,,8/1/2014,No,0,0,33.5,15.5,Dot,Dot,,,CORE,Silver,Dot Drop Earring in Hammered Silver,Earrings,295,$,Active,FALL,F14,2014,NO SIZE,,,,,Star,8.25429E+12,1_7_1567154,John Hardy,
EB7209,WOMEN's Dot Hammered Silver Triple Drop Linear Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--bwbr9pQS--/qtrqkbsu5lfxoqnwvnvr.jpg,http://images.salsify.com/image/upload/s--mNarRxNm--/j8fbnoqlvtixhtfpyrny.jpg,,,,,,http://images.salsify.com/image/upload/s--hasnVitO--/gvgzneoh2korql7fwpcc.jpg,http://images.salsify.com/image/upload/s--KUR3HD5O--/hzrih3efehrnmatd64eg.jpg,,,,,,,,,,,CORE,,,,Post Back,EB7209,ID,0,No,Drop,WOMEN,,8/1/2014,No,0,0,39.5,16,Dot,Dot,,,CORE,Silver,Dot Triple Drop Earring in Hammered Silver,Earrings,395,$,Active,FALL,F14,2014,NO SIZE,,,,,Star,8.25429E+12,1_7_1567209,John Hardy,
EB90118,WOMEN's Asli Classic Chain Link Silver Earrings,http://images.salsify.com/image/upload/s--FeMh0c_8--/zeb0029tqij2bxt28mfc.jpg,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--kIErk5TA--/knb03c9jejj0iyyjglnv.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Leverback,EB90118,ID,0,No,Drop,WOMEN,,7/25/2018,No,0,0,59,21,Classic,Chain,,,NON CORE,Silver,Asli Classic Chain Link Drop Earring in Silver,Earrings,495,$,Active,FALL,F18,2018,NO SIZE,,,,,Contributor,8.25429E+12,EB90118,John Hardy,
EB90132,WOMEN's Asli Classic Chain Link Silver Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--3qqytD6N--/bxhfhg9dradkaplwujyl.jpg,,,,,,,http://images.salsify.com/image/upload/s--_qKFKGR_--/uxinmk7gwkmzjb6hfxl2.jpg,,,,,,,,,,,,NON CORE,,,,Leverback,EB90132,ID,0,No,Drop,WOMEN,,7/25/2018,No,0,0,48,19.5,Classic,Chain,,,NON CORE,Silver,Asli Classic Chain Link Drop Earring in Silver,Earrings,495,$,Active,FALL,F18,2018,NO SIZE,,,,,Contributor,8.25429E+12,EB90132,John Hardy,
EB93298,WOMEN's Classic Chain Silver Small Graduated Hinged Earrings (Dia 20.5mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--zaWt3onT--/vkzxurmtvs9hu626logh.jpg,http://images.salsify.com/image/upload/s--WO0wPIw0--/fqawud3p8k7mckth9ihp.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Post Back,EB93298,ID,0,,Hoop,WOMEN,,7/20/2016,No,0,0,20.5,0,Classic,Chain,,,CORE,Silver,Classic Chain Graduated Small Hoop Earring in Silver,Earrings,495,$,Active,FALL,F16,2016,NO SIZE,,,,,Star,8.25429E+12,EB93298,John Hardy,
EB94000,WOMEN's Modern Chain Silver Small J Hoop Earrings (Length 19.5mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--NqyRpdhm--/k6mlxmnqawsxsnzydg6b.jpg,http://images.salsify.com/image/upload/s--fTJbLR9M--/sjshlqi8ie9pllefpsz5.jpg,,,,,,http://images.salsify.com/image/upload/s--hInLL4E1--/dczajm7pgtiqultlieie.jpg,http://images.salsify.com/image/upload/s--tirIXSzt--/jbdgwdwoqokxaatbedf5.jpg,,,,,,,,,,,CORE,,,,Post Back,EB94000,ID,0,No,J Hoop,WOMEN,,9/25/2017,No,0,0,19.5,9,Modern,Chain,,,CORE,Silver,Modern Chain Small J Hoop Earring in Silver,Earrings,350,$,Active,FALL,F17,2017,NO SIZE,,,,,Star,8.25429E+12,EB94000,John Hardy,
EB9438,WOMEN's Modern Chain Silver Medium Hoop Earrings (Length 37.5mm) with Full Closure,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--zli0DkIR--/j7mnqzvrzwkjkmzgseuj.jpg,http://images.salsify.com/image/upload/s--TDtC328C--/gji8rybbb22zitbplftj.jpg,,,,,,http://images.salsify.com/image/upload/s--JbQLK303--/feluwobiy5kixkbcby9z.jpg,http://images.salsify.com/image/upload/s--sjLz51LT--/h7e2rhgold4wsxghwan2.jpg,,,,,,,,,,,CORE,,,,Post Back,EB9438,ID,0,No,Hoop,WOMEN,,9/25/2017,No,0,0,37.5,0,Modern,Chain,,,CORE,Silver,Modern Chain Medium Hoop Earring in Silver,Earrings,395,$,Active,FALL,F17,2017,NO SIZE,,,,,Star,8.25429E+12,EB9438,John Hardy,
EB97103,WOMEN's Classic Chain Silver Small Hoop Earrings (Dia 17.5mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--mdHdjJB6--/x8ckbbkfe6dk7kbqt7ar.jpg,http://images.salsify.com/image/upload/s--qaLxn4pa--/gx4jphpmc4fnxz9r5mpi.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Post Back,EB97103,ID,0,No,Hoop,WOMEN,,1/25/2016,No,0,0,17.5,0,Classic,Chain,,,CORE,Silver,Classic Chain Small Hoop Earring in Silver,Earrings,250,$,Active,SPRING,S16,2016,NO SIZE,,,,,Star,8.25429E+12,1_407_15697103,John Hardy,
EB99254,WOMEN's Classic Chain Silver Medium Hoop Earrings with Full Closure (Dia 34mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--755WWTY0--/zfi2tfmls1fef5c9uhtd.jpg,http://images.salsify.com/image/upload/s--rUDnR19R--/rq5zrbtrgzymy5dmmqdd.jpg,,,,,,http://images.salsify.com/image/upload/s--ET2UXOVG--/yy01opqbzvh50gl1dwj7.jpg,http://images.salsify.com/image/upload/s--vO1jnAbc--/flby0tzwbzkwnyybwwze.jpg,,,,,,,,,,,CORE,,,,Titanium Hoop,EB99254,ID,0,No,Hoop,WOMEN,,8/12/2013,No,0,0,34,0,Classic,Chain,,,CORE,Silver,Classic Chain Medium Hoop Earring in Silver,Earrings,350,$,Active,FALL,F13,2013,NO SIZE,,,,,Star,8.25429E+12,1_407_15699254,John Hardy,
EB99282,WOMEN's Classic Chain Silver Knot Stud Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--e4g0HxNh--/mms1qwwbjjz4txseslud.jpg,http://images.salsify.com/image/upload/s--tsZQnXN7--/hqbmc8fhywfctitgql7k.jpg,,,,,,http://images.salsify.com/image/upload/s--njI0qUuv--/o1jqheqsumldezhyp2l2.jpg,http://images.salsify.com/image/upload/s--uXGPwVyc--/ip0o0gzvdmrc0r1kc5nq.jpg,,,,,,,,,,,CORE,,,,Post Back,EB99282,ID,0,No,Stud,WOMEN,,8/12/2013,No,0,0,12,12,Classic,Chain,,,CORE,Silver,Classic Chain Stud Earring in Silver,Earrings,295,$,Active,FALL,F13,2013,NO SIZE,,,,,Star,8.25429E+12,1_407_15699282,John Hardy,
EB996677,WOMEN's Classic Chain Silver Drop Earrings,,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--uzRz_LN0--/ddt2oq816lndvcjiomfx.jpg,,,,,,,,,,,,NON CORE,,,,Post Back,EB996677,ID,0,No,Drop,WOMEN,,10/1/2017,No,0,0,42,18,Classic,Chain,,,NON CORE,Silver,Classic Chain Drop Earring in Silver,Earrings,2700,$,Active,FALL,F17-CO,2017,NO SIZE,,,,,Star,,EB996677,John Hardy,
EB999579,WOMEN's Classic Chain Hammered Silver Drop Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--m_BREPSj--/cnzgx027azgpebuaj0lc.jpg,http://images.salsify.com/image/upload/s--jbcG9p_y--/hk8josqrh1cinpdsm8r7.jpg,,,,,,,,,,,,,,,,,,CORE,,,,French Wire,EB999579,ID,0,No,Drop,WOMEN,,1/25/2017,No,0,0,58,8.5,Classic,Chain,,,NON CORE,Silver,Classic Chain Drop Earring in Hammered Silver,Earrings,395,$,Active,SPRING,S17,2017,NO SIZE,,,,,Star,8.25429E+12,EB999579,John Hardy,
EB9996431,WOMEN's Legends Naga Silver Long Dangle Earrings with 8-11mm. Baroque Pearl,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--jXZX1Tx0--/knhiks6vxz87wx9z3est.jpg,http://images.salsify.com/image/upload/s--ozTOlIyj--/xpddnpcjh2f015f33krp.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Leverback,EB9996431,TH,0,No,Drop,WOMEN,,2/15/2017,No,0,0,64.5,11,Naga,Legends,,100,NON CORE,Silver,Legends Naga Drop Earring in Silver with 8-11MM Pearl,Earrings,795,$,Active,SPRING,S17,2017,NO SIZE,White Fresh Water Pearl,,,,Contributor,8.25429E+12,EB9996431,John Hardy,
EB999678,WOMEN's Classic Chain Silver Drop Earrings,,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--un_rXx6v--/yriojc2latn9vvur6baf.jpg,http://images.salsify.com/image/upload/s--HS3dEy-5--/m7rz8wbs1bbsp6zd9hlh.jpg,,,,,,,,,,,CORE,,,,Post Back,EB999678,ID,0,No,Drop,WOMEN,,8/15/2017,No,0,0,56,22.5,Classic,Chain,,,CORE,Silver,Classic Chain Drop Earring in Silver,Earrings,495,$,Active,FALL,F17,2017,NO SIZE,,,,,Star,8.25429E+12,EB999678,John Hardy,
EB999687,WOMEN's Classic Chain Silver Buddha Belly Earrings,,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--zMN6MmJN--/qrixhn1yzlox4kbndlag.jpg,http://images.salsify.com/image/upload/s--HoOEaWtj--/jtwd3rkgce83lokqucte.jpg,,,,,,,,,,,CORE,,,,Omega Back,EB999687,ID,0,No,Buddha Belly,WOMEN,,8/15/2017,No,0,0,18,10.5,Classic,Chain,,,CORE,Silver,Classic Chain Buddha Belly Earring in Silver,Earrings,395,$,Active,FALL,F17,2017,NO SIZE,,,,,Star,8.25429E+12,EB999687,John Hardy,
EB999709,WOMEN's Classic Chain Silver Extra Small Hoop Earrings with Full Closure (Dia 10mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--pV-vdEuP--/jbikvd9m7rjtkqofucgy.jpg,http://images.salsify.com/image/upload/s--3GSKon5d--/q62xl8e2mtndm8qogif8.jpg,,,,,,http://images.salsify.com/image/upload/s--iEEYsw2F--/k3jc6jvsmhr5e3jiftqn.jpg,,,,,,,,,,,,CORE,,,,Post Back,EB999709,ID,0,No,Hoop,WOMEN,,10/1/2017,No,0,0,10,0,Classic,Chain,,,NON CORE,Silver,Classic Chain Extra Small Hoop Earring in Silver,Earrings,250,$,Active,FALL,F17-CO,2017,NO SIZE,,,,,Star,8.25429E+12,EB999709,John Hardy,
EB999710,WOMEN's Classic Chain Silver Small Hoop Earrings with Full Closure (Dia 20mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--c3pJSuY9--/p1e5wjb61ntxbyk0lekq.jpg,http://images.salsify.com/image/upload/s--86Ub5krU--/dcrvhjyk2s67solsgt6w.jpg,,,,,,http://images.salsify.com/image/upload/s--9K1ZPPMQ--/qmd56ddqcfisd2xckg6s.jpg,,,,,,,,,,,,CORE,,,,Post Back,EB999710,ID,0,No,Hoop,WOMEN,,10/1/2017,No,0,0,20,0,Classic,Chain,,,CORE,Silver,Classic Chain Medium Hoop Earring in Silver,Earrings,350,$,Active,FALL,F17-CO,2017,NO SIZE,,,,,Star,8.25429E+12,EB999710,John Hardy,
EB999740,WOMEN's Classic Chain Arch Hammered Silver Drop Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--xEaIukCa--/hmjwpjekmahdm3p0sdfa.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Leverback,EB999740,TH,0,No,Drop,WOMEN,,1/25/2018,No,0,0,53,20,Classic,Chain,,,NON CORE,Silver,Classic Chain Drop Earring in Hammered Silver,Earrings,595,$,Active,SPRING,S18,2018,NO SIZE,,,,,Star,8.25429E+12,EB999740,John Hardy,
EB999748,WOMEN's Classic Chain Wave Silver Drop Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--dzADUpgq--/dxudscita972frz8rok3.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Post Back,EB999748,ID,0,No,Drop,WOMEN,,1/25/2018,No,0,0,54,15.5,Classic,Chain,,,NON CORE,Silver,Classic Chain Wave Drop Earring in Silver,Earrings,595,$,Active,SPRING,S18,2018,NO SIZE,,,,,Contributor,,EB999748,John Hardy,
EBP65011222DI,WOMEN's Legends Naga Silver Diamond Pave (0.27ct) Stud Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--D7qON3i3--/ipn0zopkyvnwptyfummp.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Post Back,EBP65011222DI,TH,0.27,No,Stud,WOMEN,,2/25/2018,No,0,0,13,9.5,Naga,Legends,,,NON CORE,Silver,Legends Naga Stud Earring in Silver with Diamonds,Earrings,995,$,Active,SPRING,S18,2018,NO SIZE,White Diamond,,,,Contributor,8.25429E+12,EBP65011222,John Hardy,
EBP92372DI,WOMEN's Classic Chain Silver Diamond Pave Small Square Earrings (0.28ct),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--vs1Y7o6---/y4bjn4spewevuvrn6smc.jpg,http://images.salsify.com/image/upload/s--QIOZLnTx--/zd5kfn1mnlslhddlupbx.jpg,,,,,,http://images.salsify.com/image/upload/s--jAbM6kj5--/tpcucwxwgcykrb4165qk.jpg,http://images.salsify.com/image/upload/s--SKrUkV90--/cvdjhlcybg9klopyrfab.jpg,,,,,,,,,,,CORE,,,,Post Back,EBP92372DI,TH,0.28,No,Stud,WOMEN,,8/1/2003,No,0,0,12,12,Classic,Chain,,,CORE,Silver,Classic Chain Stud Earring in Silver with Diamonds,Earrings,1200,$,Active,SPRING,S03,2003,NO SIZE,White Diamond,,,,Star,8.25429E+12,1_409_15692372,John Hardy,
EBP933142DI,WOMEN's Modern Chain Silver Diamond (0.28ct) Stud Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--WfK_OLYL--/vz1rwkctbcwnxky2wxep.jpg,http://images.salsify.com/image/upload/s--CBceCAy_--/dmree8eerd453bihowac.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Post Back,EBP933142DI,TH,0.28,No,Stud,WOMEN,,7/20/2016,No,0,0,10.5,10.5,Modern,Chain,,,NON CORE,Silver,Modern Chain Stud Earring in Silver with Diamonds,Earrings,1195,$,Active,FALL,F16,2016,NO SIZE,White Diamond,,,,Star,8.25429E+12,EBP933142,John Hardy,
EBP945352BHMBRDDI,WOMEN's Modern Chain Silver Diamond Pave(0.27ct) Buddha Belly Earrings in Brushed Finish and Matte Black Rhodium Plating,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--aFfIuVwK--/zfijhfqpcp2rfwx7ejsm.jpg,,,,,,,http://images.salsify.com/image/upload/s--OT1wStlf--/pxbqj5j7r4lpjkhssmz1.jpg,,,,,,,,,,,,NON CORE,,,,Omega Back,EBP945352BHMBRDDI,TH,0.27,No,Buddha Belly,WOMEN,,9/25/2018,No,0,0,17,10.5,Modern,Chain,,,NON CORE,Silver,"Modern Chain Buddha Belly Earring in Blackened Silver, Dia",Earrings,1195,$,Active,FALL,F18,2018,NO SIZE,White Diamond,,,,Events,8.25429E+12,EBP945352BL,John Hardy,
EBP951372DI,WOMEN's Classic Chain Silver Diamond Pave (0.58ct) Buddha Belly Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--EMCY8hs0--/b2vivau3prsixa0wm9qc.jpg,,,,,,,http://images.salsify.com/image/upload/s--w7IBt70d--/ppxe4q9ycjwaf3vmb5jx.jpg,,,,,,,,,,,,,,,,Omega Back,EBP951372DI,TH,0.58,No,Buddha Belly,WOMEN,,9/25/2017,No,0,0,19,11.5,Classic,Chain,,,NON CORE,Silver,Classic Chain Buddha Belly Earring in Silver with Diamonds,Earrings,1995,$,Active,FALL,F17,2017,NO SIZE,White Diamond,,,,Events,8.25429E+12,EBP951372,John Hardy,
EBP961822DI,WOMEN's Classic Chain Silver Diamond Pave (0.21ct) Stud Earrings,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--Hi0T9lUb--/eyt6hpyevs6w8w444aj0.jpg,http://images.salsify.com/image/upload/s--zK1hg9mW--/vvqnp3uipdlife4037kj.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Post Back,EBP961822DI,TH,0.21,No,Stud,WOMEN,,10/1/2016,No,0,0,9.5,9.5,Classic,Chain,,,CORE,Silver,Classic Chain Stud Earrings in Silver with Diamonds,Earrings,995,$,Active,FALL,F16-CO,2016,NO SIZE,White Diamond,,,,Star,8.25429E+12,EBP961822,John Hardy,
EBS3909MOP,WOMEN's Dot Silver Earrings on French wire with Mother of Pearl,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--DM8ooQg4--/e2psubjml1b1kxn8vlft.jpg,http://images.salsify.com/image/upload/s--4eR-9BeK--/myhrqzekjvodopfg1cfm.jpg,,,,,,,,,,,,,,,,,,CORE,,,,French Wire,EBS3909MOP,TH,0,MOP,Drop,WOMEN,,3/28/2016,No,0,0,58,30,Dot,Dot,,100,CORE,Silver,Dot Drop Earring in Silver with Mother of Pearl,Earrings,395,$,Active,SPRING,S16,2016,NO SIZE,White Mother of Pearl,,,,Star,8.25429E+12,1_7_1563909,John Hardy,
EBS59374BLSBN,WOMEN's Bamboo Silver J Hoop Earrings (Length 17mm) with Black Sapphire and Black Spinel,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--ov9fuvf1--/popisi42rluzvpn3zksp.jpg,,,,,,,http://images.salsify.com/image/upload/s--okOttqWP--/er64corvw6vcbw8djzup.jpg,,,,,,,,,,,,NON CORE,,,,Post Back,EBS59374BLSBN,TH,0,No,J Hoop,WOMEN,,7/25/2018,No,0,0,17,6,Bamboo,Bamboo,,1,NON CORE,Silver,Bamboo J Hoop Earring in Silver with Gemstone,Earrings,495,$,Active,FALL,F18,2018,NO SIZE,Black Spinel,Black Sapphire,,,Contributor,8.25429E+12,EBS59374,John Hardy,
EBS60134BSP,WOMEN's Legends Naga Silver Stud Earrings with Blue Sapphire Eyes,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--U9bdO32b--/huygwv46wyzfc3t1qlej.jpg,,,,,,,http://images.salsify.com/image/upload/s--flR77NOA--/f0pvzpw6f3f4vywrddrn.jpg,,,,,,,,,,,,NON CORE,,,,Post Back,EBS60134BSP,TH,0,No,Stud,WOMEN,,8/20/2018,No,0,0,15,7.5,Naga,Legends,,,NON CORE,Silver,Legends Naga Stud Earring in Silver,Earrings,295,$,Active,FALL,F18,2018,NO SIZE,Blue Sapphire,,,,Contributor,8.25429E+12,EBS60134,John Hardy,
EBS6501125GMOP,WOMEN's Legends Naga Silver Stud Earrings with Grey Mother of Pearl,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--syZnOkMN--/om04wfh5ov200kpvcx0v.jpg,,,,,,,http://images.salsify.com/image/upload/s--WBhWWeOR--/clebap1necvmebc8i561.jpg,,,,,,,,,,,,NON CORE,,,,Post Back,EBS6501125GMOP,TH,0,MOP,Stud,WOMEN,,8/20/2018,No,0,0,13,9.5,Naga,Legends,,20,NON CORE,Silver,Legends Naga Stud Earring in Silver with Gemstone,Earrings,495,$,Active,FALL,F18,2018,NO SIZE,Grey Mother of Pearl,,,,Decline,8.25429E+12,EBS6501125,John Hardy,
EBS6501264BLSBN,WOMEN's Legends Naga Silver Small Hoop Earrings (Dia 22mm) with Black Sapphire and Black Spinel,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--ClGJHLJB--/q3tinhu21yzgmmjoqevv.jpg,,,,,,,http://images.salsify.com/image/upload/s--qXqYTmNT--/ia5crpbzb7metitu50cd.jpg,,,,,,,,,,,,,,,,Post Back,EBS6501264BLSBN,TH,0,No,Hoop,WOMEN,,7/25/2017,No,0,0,22,0,Naga,Legends,,1,NON CORE,Silver,Legends Naga Small Hoop Earring in Silver with Gemstone,Earrings,595,$,Active,FALL,F17,2017,NO SIZE,Black Spinel,Black Sapphire,,,Star,8.25429E+12,EBS6501264,John Hardy,
EBS900434BLSBN,WOMEN's Classic Chain Arch Silver Small Hoop Earrings with Black Sapphire and Black Spinel (Length 17mm),,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--R8HZg3aS--/apkutoetvkufoy1waqge.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Leverback,EBS900434BLSBN,TH,0,No,Hoop,WOMEN,,9/28/2018,No,0,0,17,0,Classic,Chain,,1,NON CORE,Silver,Classic Chain Hoop Earring in Silver with Gemstone,Earrings,650,$,Active,FALL,F18-CO,2018,NO SIZE,Black Spinel,Black Sapphire,,,Contributor,8.25429E+12,EBS900434,John Hardy,
